source	line	word
indonesia-news-sample.txt	1	Menyelamatkan
indonesia-news-sample.txt	3	Mei
indonesia-news-sample.txt	4	Menyelamatkan
indonesia-news-sample.txt	5	menggendong
indonesia-news-sample.txt	8	Merdeka
indonesia-news-sample.txt	8	mengumumkan
indonesia-news-sample.txt	10	mengatakan
indonesia-news-sample.txt	13	mengatakan
indonesia-news-sample.txt	14	menyerbu
indonesia-news-sample.txt	15	memukuli
indonesia-news-sample.txt	15	menyiksa
indonesia-news-sample.txt	16	membunuh
indonesia-news-sample.txt	17	mengungkapkan
indonesia-news-sample.txt	17	membawa
indonesia-news-sample.txt	19	Menurut
indonesia-news-sample.txt	19	mengepung
indonesia-news-sample.txt	20	mereka
indonesia-news-sample.txt	20	mengumpulkan
indonesia-news-sample.txt	20	memaksa
indonesia-news-sample.txt	20	mereka
indonesia-news-sample.txt	21	membawa
indonesia-news-sample.txt	21	mereka
indonesia-news-sample.txt	22	menyerbu
indonesia-news-sample.txt	23	mendengar
indonesia-news-sample.txt	23	mereka
indonesia-news-sample.txt	23	menyelamatkan
indonesia-news-sample.txt	26	Mereka
indonesia-news-sample.txt	26	menjebol
indonesia-news-sample.txt	26	memakai
indonesia-news-sample.txt	27	menodongkan
indonesia-news-sample.txt	27	mereka
indonesia-news-sample.txt	30	mengatakan
indonesia-news-sample.txt	31	mereka
indonesia-news-sample.txt	31	Mereka
indonesia-news-sample.txt	32	mengapa
indonesia-news-sample.txt	32	Mereka
indonesia-news-sample.txt	32	mengikat
indonesia-news-sample.txt	32	memukuli
indonesia-news-sample.txt	32	membawa
indonesia-news-sample.txt	36	mereka
indonesia-news-sample.txt	36	mengaku
indonesia-news-sample.txt	36	Mereka
indonesia-news-sample.txt	37	mengatakan
indonesia-news-sample.txt	38	menjadi
indonesia-news-sample.txt	40	menggambarkan
indonesia-news-sample.txt	40	mereka
indonesia-news-sample.txt	46	Menteri
indonesia-news-sample.txt	46	menyangkal
indonesia-news-sample.txt	47	membantah
